VM;Powerstate;Template;CPUs;NICs
SEESMTSAPAWP629;poweredOn;False;4;1
SEESMTSAPAWP632;poweredOn;False;2;1
SEESMTSAPAWP638;poweredOn;False;4;1
SEESMTSAPAWP671;poweredOn;False;8;1
SEESMTSAPAWP672;poweredOn;False;8;1
SEESMTSAPAWP674;poweredOn;False;2;1
SEESMTSAPAWP680;poweredOn;False;4;1
SEESMTSAPAWP713;poweredOn;False;8;1
SEESMTSAPAWP714;poweredOn;False;8;1
SEESMTSAPAWP715;poweredOn;False;8;1
SEESMTSAPAWP721;poweredOn;False;4;1
SEESMTSAPAWP722;poweredOn;False;2;1
SEESMTSAPAWP729;poweredOn;False;8;1
SEESMTSAPAWP731;poweredOn;False;8;1
SEESMTSAPAWP734;poweredOn;False;16;1
SEESMTSAPAWP735;poweredOn;False;8;1
SEESMTSAPAWP736;poweredOn;False;8;1
SEESMTSAPAWP738;poweredOn;False;8;1
SEESMTSAPAWP739;poweredOn;False;16;1
SEESMTSAPAWP740;poweredOn;False;2;1
SEESMTSAPAWP755;poweredOn;False;2;1
SEESMTSAPAWP756;poweredOn;False;2;1
SEESMTSAPAWP757;poweredOn;False;4;1
SEESMTSAPAWP758;poweredOn;False;2;1
SEESMTSAPAWP759;poweredOn;False;4;1
SEESMTSAPAWP760;poweredOn;False;4;1
SEESMTSAPAWP761;poweredOn;False;2;1
SEESMTSAPAWP762;poweredOn;False;4;1
SEESMTSAPAWP764;poweredOn;False;2;1
SEESMTSAPAWP765;poweredOn;False;4;1
SEESMTSAPAWP766;poweredOn;False;4;1
SEESMTSAPAWP767;poweredOn;False;2;1
SEESMTSAPAWP768;poweredOn;False;2;1
SEESMTSAPAWP769;poweredOn;False;3;1
SEESMTSAPAWP775;poweredOn;False;8;1
SEESMTSAPAWP779;poweredOn;False;4;1
SEESMTSAPAWP800;poweredOn;False;4;1
SEESMTSAPAWP801;poweredOn;False;4;1
SEESMTSAPAWP802;poweredOn;False;4;1
SEESMTSAPAWP805;poweredOn;False;4;1
SEESMTSAPAWP811;poweredOn;False;4;1
SEESMTSAPAWP812;poweredOn;False;4;1
SEESMTSAPAWP814;poweredOn;False;2;1
SEESMTSAPAWP833;poweredOn;False;4;1
SEESMTSAPAWP834;poweredOn;False;4;1
SEESMTSAPAWP835;poweredOn;False;2;1
SEESMTSAPAWP836;poweredOn;False;2;1
SEESMTSAPAWP837;poweredOn;False;2;1
SEESMTSAPAWP847;poweredOn;False;2;1
SEESMTSAPAWP851;poweredOn;False;16;1
SEESMTSAPAWP852;poweredOn;False;6;2
SEESMTSAPAWP853;poweredOn;False;6;2
SEESMTSAPAWP854;poweredOn;False;2;2
SEESMTSAPAWP855;poweredOn;False;2;2
SEESMTSAPAWP856;poweredOn;False;2;2
SEESMTSAPAWP862;poweredOn;False;4;1
SEESMTSAPAWP869;poweredOn;False;4;1
SEESMTSCMAUC001;poweredOn;False;2;1
SEESMTSCMAWP001;poweredOn;False;2;1
SEESMTSCOAUP001;poweredOn;False;2;1
SEESMTSCOAWP002;poweredOn;False;4;1
SEESMTSCOAWP004;poweredOn;False;2;1
SEESMTSCOAWP007;poweredOn;False;2;1
SEESMTSCOAWP012;poweredOn;False;4;1
SEESMTSCOAWP013;poweredOn;False;4;1
SEESMTSCOAWP015;poweredOn;False;4;1
SEESMTSCOAWP016;poweredOn;False;4;1
SEESMTSCOAWP017;poweredOn;False;4;1
SEESMTSCOAWP658;poweredOn;False;4;1
SEESMTSCOAWP797;poweredOn;False;4;1
SEESMTSDBAUC008;poweredOn;False;4;2
SEESMTSDBAUC009;poweredOn;False;2;1
SEESMTSDBAUP001;poweredOn;False;8;1
SEESMTSDBAUP002;poweredOn;False;8;1
SEESMTSDBAUP003;poweredOn;False;8;1
SEESMTSDBAUP006;poweredOff;False;4;1
SEESMTSDBAUP006_restore_22102023_OLMOS;poweredOn;False;4;1
SEESMTSDBAUP008;poweredOn;False;8;1
SEESMTSDBAUP010;poweredOn;False;4;2
SEESMTSDBAUP012;poweredOn;False;8;1
SEESMTSDBAUP013;poweredOn;False;4;1
SEESMTSDBAUP334;poweredOn;False;4;2
SEESMTSDBAUP335;poweredOn;False;4;2
SEESMTSDBAUP336;poweredOn;False;4;2
SEESMTSDBAUP337;poweredOn;False;4;1
SEESMTSDBAUP338;poweredOn;False;4;2
SEESMTSDBAUP346;poweredOn;False;4;2
SEESMTSDBAUP404;poweredOn;False;2;1
SEESMTSDBAUT002;poweredOn;False;4;2
SEESMTSDBAUZ066;poweredOn;False;2;1
SEESMTSDBAWC015;poweredOn;False;4;1
SEESMTSDBAWC016;poweredOn;False;4;1
SEESMTSDBAWC018;poweredOn;False;4;1
SEESMTSDBAWC019;poweredOn;False;4;1
SEESMTSDBAWC020;poweredOn;False;4;1
SEESMTSDBAWC021;poweredOn;False;4;1
SEESMTSDBAWC022;poweredOn;False;4;1
SEESMTSDBAWP022;poweredOn;False;4;1
SEESMTSDBAWP023;poweredOn;False;4;1
SEESMTSDBAWP024;poweredOn;False;8;1
SEESMTSDBAWP025;poweredOn;False;4;1
SEESMTSDBAWP026;poweredOn;False;12;1
SEESMTSDBAWP027;poweredOn;False;12;1
SEESMTSDBAWP028;poweredOn;False;4;1
SEESMTSDBAWP029;poweredOn;False;8;1
SEESMTSDBAWP030;poweredOn;False;8;1
SEESMTSDBAWP031;poweredOn;False;8;1
SEESMTSDBAWP463;poweredOn;False;4;1
SEESMTSDBAWP796;poweredOn;False;2;1
SEESMTSDBAWP816;poweredOn;False;2;1
SEESMTSDBAWZ002;poweredOn;False;4;1
SEESMTSDCAWP001;poweredOn;False;2;1
SEESMTSDCAWP002;poweredOn;False;2;1
SEESMTSDCAWP003;poweredOn;False;2;1
SEESMTSDCAWP004;poweredOn;False;2;1
SEESMTSDCAWP005;poweredOn;False;2;1
SEESMTSDCAWP006;poweredOn;False;2;1
SEESMTSDCAWP009;poweredOn;False;4;1
SEESMTSDCAWP010;poweredOn;False;4;1
SEESMTSDCAWP401;poweredOn;False;8;1
SEESMTSDCAWP402;poweredOn;False;8;1
SEESMTSDCAWP403;poweredOn;False;8;1
SEESMTSDCAWP404;poweredOn;False;8;1
SEESMTSDCAWP405;poweredOn;False;4;1
SEESMTSDCAWT001;poweredOn;False;4;1
SEESMTSESAOC001;poweredOn;False;4;1
SEESMTSEXAWP829;poweredOn;False;8;1
SEESMTSEXAWP830;poweredOn;False;8;1
SEESMTSEXAWP831;poweredOn;False;8;1
SEESMTSEXAWP832;poweredOn;False;8;1
SEESMTSFTAWC004;poweredOn;False;4;1
SEESMTSFTAWP004;poweredOn;False;4;1
SEESMTSSAAOP208;poweredOn;False;2;1
SEESMTSSAAUC004;poweredOn;False;2;2
